49374 143730
1903 10014 114
1903 25888 57
1904 1903 63
1904 2071 24
1904 35865 226
1904 37828 241
1905 3302 76
1905 4091 130
1905 41595 224
1905 34859 224
1906 12283 133
1906 21038 80
1906 36413 292
1906 1765 157
1907 1908 98
1907 44615 31
1907 44773 442
1907 44776 571
1908 1907 98
1908 27035 83
1908 35554 472
1908 35557 432
1909 2011 288
1909 37181 258
1909 39027 543
1910 1911 364
1910 245 453
1910 34941 639
1911 1910 364
1911 43579 193
1911 44255 14
1911 34938 18
1912 41424 272
1912 34942 85
1912 46401 59
1912 38424 777
1913 41424 453
1913 43579 797
1913 38424 586
1914 2111 154
1914 2469 68
1914 2951 98
1915 35864 215
1915 46804 7
1915 46805 12
1915 46806 10
1916 6863 76
1916 6864 88
1916 44178 47
1917 1918 34
1917 33593 50
1917 45678 78
1918 1917 34
1918 10412 590
1918 35253 43
1919 39812 109
1919 34893 115
1919 45040 9
1919 45980 20
1919 45981 19
1920 1921 333
1920 43284 104
1920 46800 50
1921 1920 333
1921 2248 336
1921 37180 315
1922 9101 81
1922 41856 307
1922 36274 308
1922 47670 79
1923 27121 118
1923 32708 99
1923 48785 8
1924 1925 155
1924 29445 200
1924 33288 101
1925 1924 155
1926 9936 55
1926 44031 338
1926 1419 91
1926 45842 14
1927 11875 185
1927 28632 77
1927 41713 83
1928 1929 56
1928 10439 154
1928 30011 100
1929 1928 56
1930 11401 114
1930 11723 201
1930 28039 288
1931 11722 182
1932 11721 182
1933 27041 18
1933 35552 355
1933 46156 120
1933 46157 51
1934 39852 176
1934 35449 231
1934 36472 266
1934 45849 123
1935 39693 376
1935 34966 100
1935 34967 87
1935 37801 285
1936 22764 157
1936 24153 317
1936 36552 432
1936 36553 396
1937 18444 126
1937 22764 187
1937 39447 192
1937 36550 605
1937 36551 472
1938 23710 120
1939 39844 25
1940 30683 149
1940 46089 136
1940 47925 37
1941 48574 25
1941 48721 24
1941 48723 17
1941 48724 15
1942 35512 684
1942 37074 329
1942 37077 1073
1943 39598 370
1943 1516 361
1943 48124 671
1944 39592 368
1944 44031 1716
1944 37074 562
1945 42880 397
1945 42927 92
1945 44017 1662
1945 44025 442
1946 1947 412
1946 42885 800
1946 35494 693
1947 1946 412
1947 2561 136
1947 11976 438
1947 42927 50
1947 35494 548
1948 11690 30
1949 1970 156
1949 45021 450
1949 38810 33
1949 38811 35
1950 6404 214
1950 43594 23
1950 43596 31
1951 13487 141
1951 43595 19
1951 43600 15
1952 6407 215
1952 43595 24
1952 43599 26
1953 1954 243
1953 1341 224
1953 36939 216
1954 1953 243
1954 1955 292
1954 35551 275
1955 1954 292
1955 1957 108
1955 3970 296
1955 19799 96
1956 2220 12
1956 29281 98
1956 46894 298
1957 1955 108
1957 27917 97
1957 29281 220
1957 36941 198
1958 1974 85
1958 25357 83
1958 41496 437
1958 43014 336
1959 1960 376
1959 2061 11
1959 116 125
1960 1959 376
1960 2060 515
1960 2088 299
1961 3786 221
1961 9227 210
1961 9507 95
1961 38598 374
1962 1963 87
1962 20301 174
1962 42784 211
1963 1962 87
1963 20295 67
1963 46899 259
1964 1965 224
1964 35506 260
1964 39034 437
1965 1964 224
1965 2019 102
1965 26181 65
1966 30659 27
1967 20891 62
1967 42954 75
1967 1298 111
1967 36829 331
1968 2135 51
1968 24852 82
1968 44753 271
1969 1970 296
1969 35867 3005
1969 36722 356
1970 1949 156
1970 1969 296
1970 36723 161
1971 2042 76
1971 21061 61
1971 37005 302
1971 38739 335
1972 7572 104
1972 7573 109
1972 10601 202
1972 34875 253
1972 44763 256
1973 37983 56
1974 1958 85
1974 9313 235
1974 43010 362
1974 43011 435
1975 30753 133
1975 36237 115
1976 26485 70
1976 39802 321
1976 1590 135
1977 24342 94
1977 30762 86
1977 44430 43
1977 1762 178
1978 13024 183
1978 13025 59
1978 39842 365
1979 1980 31
1979 22236 99
1979 24567 306
1980 1979 31
1980 26185 48
1980 42872 80
1981 42872 258
1981 42873 561
1981 35511 303
1982 9226 46
1982 47858 46
1982 48198 13
1982 39005 374
1983 31104 151
1983 34778 466
1983 44392 176
1984 25618 93
1984 37479 85
1984 37483 61
1985 2031 448
1985 35545 197
1985 46795 437
1986 2031 204
1986 43284 42
1986 46795 10
1987 31252 15
1987 38315 7
1987 1797 52
1988 22889 148
1989 1990 32
1989 2138 38
1989 27236 152
1990 1989 32
1990 2138 35
1990 29212 46
1991 20902 96
1991 36878 85
1991 36879 47
1991 36880 42
1992 1993 34
1992 12377 646
1992 12378 56
1993 1992 34
1993 12378 57
1993 39453 258
1994 1995 75
1994 7869 152
1994 25885 269
1995 1994 75
1995 44699 317
1995 47836 74
1996 1997 129
1996 10912 143
1996 25885 265
1997 1996 129
1998 12439 100
1999 29709 77
1999 39263 389
1999 43626 145
1999 1450 387
2000 31472 93
2000 35519 89
2000 46374 14
2000 1841 321
2001 9060 99
2001 16226 201
2001 34825 80
2001 750 415
2001 47136 55
2002 2182 159
2002 4836 130
2002 26190 222
2002 36646 419
2003 18491 61
2003 18497 78
2003 69 90
2003 44762 287
2004 2212 280
2005 2125 84
2005 26406 69
2005 43806 329
2005 37871 298
2006 34841 209
2006 43828 161
2006 38212 44
2007 15770 187
2007 32273 270
2007 35592 91
2008 2009 100
2008 11636 187
2008 35589 106
2009 2008 100
2009 2010 97
2009 20895 186
2010 2009 97
2010 26159 186
2010 32276 276
2011 1909 288
2011 18344 55
2011 42881 164
2012 2013 132
2012 5371 885
2012 46573 512
2013 2012 132
2014 2015 85
2014 26497 155
2014 39819 39
2014 41536 81
2015 2014 85
2015 33680 161
2015 39820 34
2015 40909 82
2016 12919 56
2016 12920 126
2016 14560 132
2016 35057 251
2017 2018 397
2017 2019 34
2017 22977 206
2017 39029 22
2018 2017 397
2018 42877 1055
2018 37184 402
2019 1965 102
2019 2017 34
2019 44024 341
2020 21445 130
2020 21446 57
2020 33088 55
2021 21446 79
2022 2023 144
2022 2511 140
2022 44558 65
2023 2022 144
2023 2512 138
2023 9664 35
2024 26485 125
2024 35454 180
2024 35695 19
2024 36813 19
2025 618 220
2025 35462 165
2025 37840 751
2026 39882 26
2026 39885 180
2026 43089 35
2026 44758 50
2027 42710 495
2027 46818 346
2028 42710 235
2028 45748 84
2028 46818 30
2029 31339 71
2030 2172 37
2030 45536 41
2030 46412 38
2030 46802 31
2031 1985 448
2031 1986 204
2031 44016 260
2032 34422 99
2032 34661 440
2032 48657 75
2033 8428 197
2033 21449 25
2033 36706 58
2033 36708 36
2034 5217 57
2034 20004 133
2034 42873 277
2034 42875 492
2035 17386 87
2035 36419 437
2035 46246 97
2036 12917 122
2036 20509 66
2036 39562 467
2037 22192 103
2037 22784 168
2037 26181 177
2037 35505 256
2038 2040 202
2038 10727 102
2038 18713 440
2038 36045 538
2038 36046 369
2039 23728 72
2039 29151 307
2039 29152 81
2040 2038 202
2040 21559 201
2040 22538 109
2040 36043 499
2040 36054 576
2041 2043 95
2041 7111 58
2041 39736 293
2041 44752 335
2042 1971 76
2042 26424 64
2042 37004 314
2042 37006 295
2043 2041 95
2043 39707 274
2043 47209 299
2043 1537 172
2044 15765 246
2044 25492 95
2044 45026 9
2045 5139 162
2045 28016 206
2045 39244 242
2045 42018 131
2045 1805 110
2046 42808 81
2046 42809 85
2046 1650 268
2047 39840 120
2047 42808 66
2047 42809 101
2048 11358 297
2048 36309 298
2048 47254 75
2049 20004 90
2049 37547 374
2049 46222 313
2050 2105 57
2050 31815 111
2050 39848 21
2050 39850 29
2051 22976 284
2051 27949 190
2051 44024 200
2052 42870 238
2052 37075 842
2052 1516 237
2053 2054 231
2053 3251 546
2053 13610 160
2053 1260 104
2054 2053 231
2054 2158 824
2054 35997 709
2055 40212 711
2055 37057 229
2055 37058 411
2056 32706 57
2057 8384 202
2057 27972 176
2057 47250 34
2058 8383 220
2059 8382 161
2060 1960 515
2060 2061 405
2060 42798 291
2061 1959 11
2061 2060 405
2061 13375 92
2062 2233 116
2062 22975 150
2062 36047 317
2063 14169 39
2064 23632 218
2065 6292 34
2065 44257 50
2065 36259 254
2066 2067 23
2066 2805 68
2066 44696 124
2066 47299 67
2067 2066 23
2067 33960 156
2068 37179 487
2068 37180 440
2068 46797 436
2069 4112 49
2070 665 108
2070 666 190
2070 37870 329
2071 1904 24
2071 2072 62
2071 35866 386
2071 48153 347
2072 1903 23
2072 2071 62
2072 2073 107
2072 25889 480
2073 2072 107
2073 2074 40
2073 10014 19
2074 2073 40
2074 10014 44
2074 38862 778
2075 2076 412
2075 44354 377
2075 46247 69
2076 2075 412
2076 22990 93
2076 48478 164
2077 19828 180
2077 19829 267
2077 38328 95
2078 2086 449
2078 6433 279
2078 42728 621
2078 44047 21
2078 44310 43
2079 2087 100
2079 13713 106
2079 26510 124
2079 38228 28
2080 23631 98
2081 26706 67
2081 35054 342
2081 36414 11
2082 10083 47
2082 19282 55
2082 33872 127
2083 49167 112
2083 39291 34
2083 36124 534
2084 11427 160
2084 26970 182
2084 43273 30
2085 16722 122
2085 18791 91
2085 837 45
2086 2078 449
2086 34176 425
2086 43008 936
2087 2079 100
2087 23091 108
2087 27357 178
2087 38075 37
2088 1960 299
2088 46256 339
2088 46897 676
2089 2242 110
2089 21559 319
2089 36050 482
2090 49086 12
2090 2181 108
2090 39798 482
2090 48177 96
2091 39599 323
2091 35508 348
2091 35539 252
2092 2093 92
2093 2092 92
2093 2094 101
2093 31672 276
2094 2093 101
2094 2095 99
2094 24974 277
2095 2094 99
2095 2096 101
2095 7840 277
2096 2095 101
2096 43703 278
2096 36218 30
2097 8443 21
2097 8446 75
2097 42325 192
2098 2099 178
2098 12397 320
2098 26216 307
2099 2098 178
2099 2100 98
2099 44487 42
2100 2099 98
2101 26920 153
2101 36227 307
2101 1454 232
2102 5653 60
2102 15171 24
2102 1308 23
2103 36170 397
2104 3744 226
2104 44497 70
2104 35111 169
2105 2050 57
2105 2116 130
2105 12510 94
2105 32805 113
2105 36228 345
2106 41531 46
2106 41533 239
2106 41544 156
2107 2108 71
2107 23372 150
2107 34474 117
2108 2107 71
2108 25744 428
2108 39515 132
2109 18099 275
2109 39516 68
2109 48633 181
2110 9318 117
2110 14752 457
2110 14753 252
2110 44161 576
2111 1914 154
2111 10253 99
2111 29483 33
2111 39853 174
2111 39854 167
2112 21678 36
2112 34517 29
2112 35535 242
2113 35931 196
2113 37545 27
2113 37546 5
2114 4036 93
2114 12283 189
2114 20910 119
2114 1766 61
2115 35801 25
2115 35802 19
2115 37905 39
2115 46768 22
2115 47336 70
2116 2105 130
2116 11712 156
2116 42020 204
2116 35082 241
2116 46640 116
2117 2118 180
2117 2119 312
2117 2127 118
2118 2117 180
2118 2119 194
2118 13634 443
2118 13635 743
2118 31250 102
2119 2117 312
2119 2118 194
2119 2218 1946
2120 12817 95
2121 20490 49
2122 17306 113
2123 3914 194
2124 12606 70
2125 2005 84
2125 25973 46
2125 48011 328
2126 14652 401
2126 14656 75
2126 17353 44
2127 2117 118
2127 25495 445
2128 2129 107
2128 2216 14
2128 20479 224
2129 2128 107
2130 7143 103
2131 15806 239
2131 26956 805
2131 30565 40
2131 39546 32
2132 2139 362
2132 37126 1542
2132 37137 700
2133 2139 91
2133 20254 115
2133 37136 404
2133 38231 297
2134 9581 66
2134 29352 369
2134 29579 119
2135 1968 51
2135 24851 169
2135 36832 306
2136 13463 70
2137 45827 316
2137 38077 134
2137 1671 410
2138 1989 38
2138 1990 35
2138 27235 164
2139 2132 362
2139 2133 91
2139 20253 55
2139 37137 342
2140 29027 60
2140 29028 143
2140 29368 243
2141 7467 66
2141 19897 13
2141 19898 198
2142 31299 78
2142 44578 7
2142 38763 558
2143 2144 19
2143 297 112
2143 45351 107
2144 2143 19
2144 2145 313
2144 45351 93
2144 46881 126
2145 2144 313
2145 37070 141
2145 47466 526
2146 5215 137
2147 8712 91
2147 39838 255
2147 36810 134
2148 30766 47
2148 32726 8
2149 2150 456
2149 41941 96
2149 42696 898
2150 2149 456
2150 13619 140
2150 42696 453
2150 858 85
2151 16926 301
2151 26853 80
2151 42871 30
2152 5437 57
2153 12394 378
2154 2155 30
2154 4616 38
2154 25897 110
2155 2154 30
2155 4605 345
2155 4617 16
2156 2157 89
2156 4268 52
2156 15250 591
2157 2156 89
2158 2054 824
2158 2159 340
2158 41946 990
2159 2158 340
2159 857 85
2159 1406 59
2160 643 73
2160 44736 361
2160 36826 15
2161 2219 9
2161 39293 70
2161 39294 47
2162 2163 345
2162 13797 29
2162 25494 44
2163 2162 345
2163 2165 755
2163 42710 242
2164 2165 197
2164 30165 111
2164 33239 156
2164 33241 304
2165 2163 755
2165 2164 197
2165 42716 1194
2166 39110 327
2166 39111 38
2166 39112 55
2167 4513 101
2167 22000 197
2167 24672 98
